country_name,iso3_code,gni_per_capita_usd,price_level_index,ppp_conversion_factor,representative_city,coffee_production_qty,coffee_export_value_usd1000,purchasing_power_ratio,living_affordability_score
Montenegro,MNE,11560.0,38.4716086443108,0.355800655522619,Podgorica,,,300.48,22.74
Mongolia,MNG,4870.0,32.4013936040264,1122.94693630791,Ulaanbaatar,,,150.3,10.86
Mozambique,MOZ,540.0,37.0305855747945,23.6572980592353,Maputo,,,14.58,0.14
Mauritania,MRT,2140.0,30.523008509121,11.1785431496469,Nouakchott,,,70.11,4.53
Mauritius,MUS,12530.0,38.3293941808412,17.3506531049783,Port Louis,,,326.9,24.82
Malawi,MWI,620.0,34.5646281740668,401.327950703585,Lilongwe,,,17.94,0.4
Malaysia,MYS,11700.0,31.1972372330574,1.42278837661538,Kuala Lumpur,,,375.03,28.63
North America,NAC,77344.8816877431,,,,,,,
Namibia,NAM,4310.0,37.5716879759727,6.93058928484689,Windhoek,,,114.71,8.05
New Caledonia,NCL,36710.0,,,Noum'ea,,,,
Niger,NER,640.0,34.0532450461306,206.556683343202,Niamey,,,18.79,0.47
Nigeria,NGA,2590.0,24.5505132509298,158.178769064314,Abuja,,,105.5,7.32
Nicaragua,NIC,2360.0,31.337763322898,11.4198551277581,Managua,,,75.31,4.94
Netherlands,NLD,62550.0,79.0077579735308,0.730695,Amsterdam,,,791.69,61.56
Norway,NOR,101840.0,84.4262006942256,8.918221,Oslo,,,1206.26,94.34
Nepal,NPL,1430.0,25.6013207154076,33.4724567538748,Kathmandu,,,55.86,3.4
Naoero,NRU,22370.0,103.269686960238,1.53436035491782,Yaren District,,,216.62,16.11
New Zealand,NZL,49470.0,89.7226782387982,1.461074,Wellington,,,551.37,42.57
OECD members,OED,46560.4963859771,,,,,,,
Oman,OMN,19950.0,50.0903764339347,0.192597497388479,Muscat,,,398.28,30.47
Other small states,OSS,14577.798764917,,,,,,,
Pakistan,PAK,1450.0,22.6007022287252,56.15218757235,Islamabad,,,64.16,4.05
Panama,PAN,17830.0,47.1743398563755,0.471743398563755,Panama City,,,377.96,28.86
Peru,PER,7100.0,46.4689999107822,1.73971850059984,Lima,,,152.79,11.06
Philippines,PHL,4320.0,34.5986617682061,19.2473611347953,Manila,,,124.86,8.85
Palau,PLW,14750.0,85.065986296197,0.85065986296197,Koror,,,173.39,12.69
Papua New Guinea,PNG,2800.0,63.4822695364783,2.27877414820342,Port Moresby,,,44.11,2.47
Poland,POL,19890.0,45.6856870982025,1.920474,Warsaw,,,435.37,33.4
Pre-demographic dividend,PRE,1629.53112860082,,,,,,,
Puerto Rico (US),PRI,25290.0,77.7191744434403,0.777191744434403,San Juan,,,325.4,24.71
Portugal,PRT,26340.0,55.490814087648,0.513201,Lisbon,,,474.67,36.5
Paraguay,PRY,6200.0,35.844402509728,2612.65263745484,Asuncion,,,172.97,12.66
West Bank and Gaza,PSE,4450.0,58.3864805636319,0.583864805636319,,,,76.22,5.01
Pacific island small states,PSS,4356.96814147791,,,,,,,
Post-demographic dividend,PST,54261.6584638305,,,,,,,
French Polynesia,PYF,24370.0,,,Papeete,,,,
Qatar,QAT,79430.0,62.1553920678368,2.26245627126926,Doha,,,1277.93,100.0
Romania,ROU,16590.0,39.6776185948663,1.81497330738497,Bucharest,,,418.12,32.03
Russian Federation,RUS,14400.0,31.5742959179996,26.8893044156305,Moscow,,,456.07,35.03
Rwanda,RWA,1030.0,30.152954087602,349.804026572691,Kigali,,,34.16,1.68
South Asia,SAS,2524.90860221655,,,,,,,
Saudi Arabia,SAU,36330.0,50.4816326565955,1.89306122462233,Riyadh,,,719.67,55.87
Sudan,SDN,660.0,32.9095163422373,217.064587890129,Khartoum,,,20.05,0.57
Senegal,SEN,1620.0,35.5121883432759,215.406192053338,Dakar,,,45.62,2.59
Singapore,SGP,69530.0,59.6860042148137,0.801443968215127,Singapore,,,1164.93,91.07
Solomon Islands,SLB,1980.0,72.4362183095765,6.06696572765034,Honiara,,,27.33,1.14
Sierra Leone,SLE,870.0,22.4950489640751,4.792542062985,Freetown,,,38.68,2.04
El Salvador,SLV,4930.0,41.9951346710945,0.419951346710945,San Salvador,,,117.39,8.26
San Marino,SMR,53910.0,75.9688772792505,0.702590229204567,San Marino,,,709.63,55.08
"Somalia, Fed. Rep.",SOM,600.0,38.3382954872091,10428.4189246235,Mogadishu,,,15.65,0.22
Serbia,SRB,10750.0,41.2456544508145,44.7113997577007,Belgrade,,,260.63,19.59
Sub-Saharan Africa (excluding high income),SSA,1768.27145267264,,,,,,,
,SSD,,66.6367243015678,126.743049621582,Juba,,,,
Sub-Saharan Africa,SSF,1769.65752258208,,,,,,,
Small states,SST,13759.3611738674,,,,,,,
Sao Tome and Principe,STP,2810.0,48.5887264965472,11.0920118334835,Sao Tome,,,57.83,3.55
Suriname,SUR,5210.0,26.136317746715,9.61185797595566,Paramaribo,,,199.34,14.74
Slovak Republic,SVK,22710.0,53.6685520698049,0.496348,Bratislava,,,423.15,32.43
Slovenia,SVN,31020.0,58.1657645450991,0.53794,Ljubljana,,,533.3,41.14
Sweden,SWE,60540.0,80.2687231792261,8.516641,Stockholm,,,754.22,58.6
Eswatini,SWZ,3750.0,33.2076733153706,6.12800854631137,Mbabane,,,112.93,7.91
Sint Maarten (Dutch part),SXM,38260.0,76.2659824546408,1.36516108593807,Philipsburg,,,501.67,38.64
Seychelles,SYC,16340.0,56.846274704358,7.96877388742183,Victoria,,,287.44,21.7
Syrian Arab Republic,SYR,720.0,21.5443381716821,807.95702765744,Damascus,,,33.42,1.63
Turks and Caicos Islands,TCA,36060.0,100.295056929768,1.00295056929768,Grand Turk,,,359.54,27.4
Chad,TCD,910.0,35.1449071325721,213.178375331775,N'Djamena,,,25.89,1.03
East Asia & Pacific (IDA & IBRD countries),TEA,10784.8916488508,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,11462.9050001804,,,,,,,
