country_name,iso3_code,gni_per_capita_usd,price_level_index,ppp_conversion_factor
Aruba,ABW,31690.0,73.4348492289676,1.31448380119852
Africa Eastern and Southern,AFE,1599.69559712408,,
Afghanistan,AFG,370.0,18.7769834830579,14.7887521912564
Africa Western and Central,AFW,2020.59282821637,,
Angola,AGO,2650.0,30.2154554475251,220.826283791255
Albania,ALB,8740.0,39.2019320568568,39.4547845186235
Andorra,AND,47920.0,65.207668023379,0.603066309036457
Arab World,ARB,7653.44586249344,,
United Arab Emirates,ARE,51100.0,63.8951543197588,2.34654954239314
Argentina,ARG,12920.0,47.1522008770533,139.692187078265
Armenia,ARM,6850.0,37.8580675957975,148.585343699986
Antigua and Barbuda,ATG,20250.0,69.0200728873085,1.86354196795733
Australia,AUS,63320.0,90.017903054288,1.337468
Austria,AUT,55890.0,76.1898638035308,0.704634
Azerbaijan,AZE,6680.0,30.1339197674035,0.51227663604586
Burundi,BDI,280.0,21.7700759178039,751.11355685453
Belgium,BEL,55520.0,76.0635716278445,0.703466
Benin,BEN,1390.0,33.7298088877381,204.623566036542
Burkina Faso,BFA,840.0,31.6195518530494,191.794636626162
Bangladesh,BGD,2880.0,27.8637828611553,28.6070991451479
Bulgaria,BGR,14240.0,40.8300441715447,0.377621911406109
Bahrain,BHR,28460.0,45.6062202395205,0.171479388100597
"Bahamas, The",BHS,35180.0,97.7236382694572,0.977236382694572
Bosnia and Herzegovina,BIH,8280.0,37.0589900689945,0.670472360097951
Belarus,BLR,7850.0,25.5893013103649,0.769559852957259
Belize,BLZ,6850.0,54.0327889034715,1.08065577806943
Bermuda,BMU,133460.0,117.047800140108,1.17047800140108
Bolivia,BOL,4230.0,33.1302078287776,2.28929736096853
Brazil,BRA,9310.0,48.9668945108392,2.44559278607045
Barbados,BRB,24710.0,110.389494448318,2.20778988896636
Brunei Darussalam,BRN,34390.0,38.6480738036016,0.519074549641412
Bhutan,BTN,3730.0,23.6085982216234,19.5005312048098
Botswana,BWA,8150.0,37.2207107189768,5.06067038467414
Central African Republic,CAF,530.0,39.4218965074556,239.121299090532
Canada,CAN,55340.0,84.4299358903067,1.139727
Central Europe and the Baltics,CEB,20535.501908314,,
Switzerland,CHE,98160.0,111.187993188572,0.999013
Chile,CHL,15970.0,51.4914125366645,432.562121
China,CHN,13750.0,51.3934255336289,3.64070923693376
Cote d'Ivoire,CIV,2510.0,35.7850805696667,217.061473748726
Cameroon,CMR,1680.0,31.7710503563486,192.713580718878
"Congo, Dem. Rep.",COD,680.0,38.1174068146478,931.662587387676
"Congo, Rep.",COG,2310.0,36.1436110410936,219.236211132934
Colombia,COL,6760.0,32.9507324741011,1425.433859
Comoros,COM,1670.0,44.2396522430517,201.286540985159
Cabo Verde,CPV,4740.0,46.7768084314991,47.6210423510559
Costa Rica,CRI,14330.0,58.6051480974268,318.841763
Caribbean small states,CSS,17037.259347586,,
Cuba,CUB,9010.0,,
Curacao,CUW,21400.0,69.1655413375575,1.23806318994228
Cayman Islands,CYM,73970.0,113.202134837481,0.943347350241178
Cyprus,CYP,32380.0,61.1672148800824,0.565698600025777
Czechia,CZE,28540.0,56.6540084166427,12.576104
Germany,DEU,55420.0,75.8027696349033,0.701054
Djibouti,DJI,3500.0,46.755999443939,83.0952297717628
Dominica,DMA,9990.0,48.8258260250056,1.31829730267515
Denmark,DNK,72080.0,87.8827340450088,6.054859
Dominican Republic,DOM,9700.0,41.1056638995541,23.083954310056
Algeria,DZA,4950.0,31.8943104698358,43.326166802351
East Asia & Pacific (excluding high income),EAP,10664.8859168148,,
Early-demographic dividend,EAR,4150.24837358382,,
East Asia & Pacific,EAS,14054.9283145346,,
Europe & Central Asia (excluding high income),ECA,7769.75908429517,,
Europe & Central Asia,ECS,29462.2295399831,,
Ecuador,ECU,6570.0,42.2329283911314,0.422329283911314
"Egypt, Arab Rep.",EGY,3840.0,18.6449273613426,4.78237501847469
Euro area,EMU,44232.1984040642,,
,ERI,,32.7593959979157,4.93847894668579
Spain,ESP,32980.0,60.1732478788246,0.556506
Estonia,EST,27650.0,61.9552867037266,0.572987
Ethiopia,ETH,1030.0,34.4650160034375,22.1265402742069
European Union,EUU,40919.0376807938,,
Finland,FIN,52870.0,83.294988081374,0.770345
Fiji,FJI,5670.0,40.4346739087747,0.909830706289817
France,FRA,45770.0,73.3666714172562,0.678524
Faroe Islands,FRO,73420.0,90.8535821242413,6.25954159690578
"Micronesia, Fed. Sts.",FSM,4270.0,92.1787754114453,0.921787754114453
Gabon,GAB,7660.0,37.5627483608873,227.844268825763
United Kingdom,GBR,48800.0,82.1226909562195,0.660709
Georgia,GEO,6710.0,33.0123575638268,0.867549901216465
Ghana,GHA,2310.0,31.5220977311204,3.47419917524807
Guinea,GIN,1340.0,35.8630311352801,3052.18339989862
"Gambia, The",GMB,870.0,26.8246053642778,16.4233646342791
Guinea-Bissau,GNB,970.0,32.6315066421652,197.932848260615
Equatorial Guinea,GNQ,6230.0,39.9385298046146,242.255040389526
Greece,GRC,22300.0,54.779879965099,0.506626
Grenada,GRD,10100.0,60.1193086662215,1.62322133398798
,GRL,,74.1379389303593,5.10788380262313
Guatemala,GTM,5470.0,41.8454929522742,3.27732812819395
Guyana,GUY,17770.0,37.3784018752798,77.9339679099584
"Hong Kong SAR, China",HKG,54870.0,70.6455458767716,5.53125165022491
